Spaxid, N2 flux, N2 S/N, Ha flux, Ha S/N, Hb flux, Hb S/N, O3 flux, O3 S/N, S2 6717 flux, S2 6717 S/N, S2 6731 flux, S2 6731 S/N, Ha EW, AGN Flag 
587725552812228767_49_32,0.0487436,10.36718795,0.232699,56.03266013,0.0816486,14.7509105,0.0989432,14.52959155,0.0695629,17.7727709,0.0447688,12.09708414,25.5026, S06_SF 
587725552812228767_50_32,0.0310785,9.021864057,0.181535,55.04414619,0.0636964,12.64180978,0.0770354,13.46707895,0.0539094,13.22483468,0.0352061,13.03650178,20.6069, S06_SF 
587725552812228767_51_32,0.029995,7.94418643,0.175913,48.84534495,0.0617237,11.87463572,0.0715742,13.02950632,0.0508921,14.42736796,0.0375057,11.31270955,19.1502, S06_SF 
587725552812228767_52_32,0.035886,8.295918855,0.191571,42.26085817,0.0672178,9.386824455,0.0752009,9.240255532,0.05374,9.419939733,0.0458379,10.1745469,20.6179, S06_SF 
587725552812228767_53_32,0.0320156,7.412946544,0.172075,46.45893661,0.0603772,10.08872758,0.058479,8.712699637,0.0522017,13.10292521,0.042671,14.53395945,19.4832, S06_SF 
587725552812228767_54_32,0.0210829,5.230749631,0.120701,29.34629968,0.0423511,9.336463314,0.0353383,7.581487784,0.0417879,8.737309889,0.027527,7.212302503,15.5006, S06_SF 
587725552812228767_55_32,0.0188828,4.988866075,0.10812,28.97098152,0.0379367,6.756991387,0.0253343,4.480986083,0.0421596,12.70268777,0.024072,5.153139264,15.8306, S06_SF 
587725552812228767_56_32,0.0148429,2.467440097,0.110155,22.38461215,0.0386507,4.175606831,0.0247714,2.737985273,0.0401129,8.900481238,0.0164183,3.615559187,13.6607, S06_SF 
587725552812228767_29_33,0.00353866,1.114660374,0.0106402,3.497445938,0.0037334,1.193441911,0.00385713,1.315527022,0.0072537,2.039673778,0.00801954,2.407517015,19.2922, K03_SF 
587725552812228767_30_33,0.00374804,1.107916321,0.0124466,5.31104704,0.00436723,1.622059158,0.00434709,1.338135833,0.0107668,4.20394219, nan,0.766269288,42.516, S06_SF 
587725552812228767_35_33,0.0473415,2.754439367,0.251472,12.69486317,0.0882357,1.936308185,0.117805,2.623129166,0.0521298,3.7755295,0.0279145,1.641975356,20.2438, S06_SF 
587725552812228767_36_33,0.0132426,4.429435847,0.0512912,16.79223032,0.0179969,6.205579629,0.0157211,5.086174033,0.00958052,3.407581332,0.00915505,2.693811495,18.2494, S06_SF 
587725552812228767_37_33,0.0125109,4.495763423,0.0572949,19.28273525,0.0201035,6.857512182,0.0202695,5.02540729,0.0130573,5.46589229,0.0134877,4.902870531,25.2895, S06_SF 
587725552812228767_38_33,0.025509,6.292637541,0.0984432,21.15188335,0.0345415,6.349884719,0.0400197,8.672488098,0.0242017,5.728549875,0.0200189,5.279388757,20.1963, S06_SF 
587725552812228767_39_33,0.0326056,7.041491178,0.125944,22.30696432,0.0441909,8.139171595,0.0514315,10.20455083,0.038663,7.883821723,0.0296102,7.405854791,21.5676, S06_SF 
587725552812228767_40_33,0.0648915,5.966109652,0.27205,31.46692987,0.0954562,8.893916655,0.128124,10.00672648,0.0759785,10.62759733,0.0594162,9.581911609,22.476, S06_SF 
587725552812228767_41_33,0.0651342,9.024120096,0.26458,42.68951074,0.092835,9.964878964,0.0968833,10.49858001,0.0692634,12.0673009,0.0610595,10.59053386,21.6135, S06_SF 
587725552812228767_42_33,0.105555,13.66793868,0.444416,67.96547065,0.155936,12.33860632,0.156778,8.536089276,0.1133,11.71678364,0.0924879,11.59591894,28.2387, S06_SF 
